DataSource,Latitude,Longitude,Lake,Region,Year,Month,Day,DOC_mgL,Av_pelagic_d13C,Av_pelagic_d15N,Av_benthic_d13C,Av_benthic_d15N,d13C_baselineDifference
Andersson,53,13.55,Grober Vatersee,Germany,2017,9,20,12,-30.45,6.542,-25.17,3.554,-5.28
Andersson,53.01,13.63,Wuckersee,Germany,2017,9,18,10.27,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,56.59,15.73,Brunnsjon,Sweden,2017,7,29,18.94,-35.42166667,1.766666667,-28.40444444,1.458888889,-7.01722223
Andersson,59.89,15.68,Dagarn,Sweden,2017,8,22,6.26,-33.36,4.08,-24.1,2.22,-9.26
Andersson,63.87,16.23,Degervattnet,Sweden,2018,7,23,8.61,-32.9275,3.2675,-27.18,1.456666667,-5.7475
Andersson,60.34,17.78,Falaren,Sweden,2007,8,16,34.3,-32.2,2.7,-27,1.1,-5.2
Andersson,57.09,14.53,Fiolen,Sweden,2017,7,21,6.21,-30.5125,4.455,-26.705,3.4775,-3.8075
Andersson,57.11,14.48,Gyslattasjon,Sweden,2017,7,24,11.52,-33.17,4,-29.49285714,2.524285714,-3.67714286
Andersson,61.63,16.73,Kallsjon,Sweden,2017,8,19,20.11,-33.455,6.355,-27.725,3.26,-5.73
Andersson,60.04,17.57,Langsjon,Sweden,2007,8,7,6.19,-31.6,13.3,-25.7,9.5,-5.9
Andersson,59.9,15.39,Lilla Sangaren,Sweden,2007,8,8,6.5,-34.4,5.8,-23.1,3.4,-11.3
Andersson,59.92,15.45,Ljustjarn,Sweden,2007,8,9,3.6,-34.7,5.3,-26.6,2.3,-8.1
Andersson,60.02,15.47,Oppsveten,Sweden,2007,8,8,19.1,-31.2,5.9,-28.1,1.9,-3.1
Andersson,63.86,18.27,Remmarsjon,Sweden,2017,8,2,9.18,-34.00333333,4.56,-28.27666667,1.623333333,-5.72666666
Andersson,56.67,13.06,Stora Skarsjon,Sweden,2017,7,19,5.07,-31.612,2.81,-27.1425,2.6725,-4.4695
Andersson,59.87,17.17,Strandsjon,Sweden,2007,8,14,21,-35.1,6.7,-29.6,5.6,-5.5
Andersson,60.44,15.09,Tryssjon,Sweden,2018,8,3,11.19,-35.232,2.63,-26.2,1.965,-9.032
Andersson,59.73,17.84,Valloxen,Sweden,2007,8,17,17.6,-31.6,4.9,-29.1,4.7,-2.5
Andersson,65.66,18.55,Vuolgamjaure,Sweden,2017,8,15,5.41,-34.44333333,4.093333333,-24.95,1.325,-9.49333333
Burke,70.33,-156.81,ATQ 201,Alaska,2016,8,15,4.87,-28.13271917,8.372273738,-25.43,6.53,-2.70271917
Burke,70.42,-156.981,ATQ 206,Alaska,2016,8,15,4.166,-29.72659838,4.241270482,-24.38344,4.112084,-5.34315838
Burke,69.99,-156.43,RDC 308,Alaska,2016,8,15,8.094,-32.08174611,6.45298431,-30.39667,5.118592,-1.68507611
Burke,70.03,-156.57,RDC 309,Alaska,2016,8,15,8.097,-33.12893779,7.778236812,-31.93963,6.206794,-1.18930779
Burke,70,-156.69,RDC 311,Alaska,2016,8,15,5.99,-30.79009573,4.195070551,-28.39433,3.421576,-2.39576573
Johnston,49.55,-91.82,Mameigwess,North Ontario,2016,6,23,2.9,-27.23,1.235333333,-14.32,-0.315,-12.91
Johnston,46.39,-82.92,Matinenda,North Ontario,2018,9,16,2.9,-27.07714286,1.572857143,-11.38,0.663333333,-15.69714286
Johnston,47.01,-80.08,Temagami,North Ontario,2016,6,1,2.9,-28.9275,1.5,-19.75,-0.21,-9.1775
Johnston,46.25,-81.33,Panache,North Ontario,2010,NA,NA,3.3,-27.481,2.182,-17.21,1.36,-10.271
Johnston,47.22,-79.72,Rib,North Ontario,2014,8,18,3.4,-30.15,2.045,-19.275,-0.368333333,-10.875
Johnston,51.2,-93.31,Trout,North Ontario,2016,9,17,3.7,-26.779,3.701,-22.814,0.878,-3.965
Johnston,52.58,-94.89,Cherrington,North Ontario,2016,9,25,4.8,-28.98,2.465,-19.241,0.779,-9.739
Johnston,51.7,-88.89,Troutfly,North Ontario,2011,NA,NA,4.9,-28.968,5.02,-21.46714286,2.591428571,-7.50085714
Johnston,48.74,-92.68,Bad Vermilion,North Ontario,2016,7,10,5.5,-29.042,1.847,-18.154,0.624,-10.888
Johnston,48.21,-80.76,Radisson,North Ontario,2014,8,5,5.8,-29.02454545,2.110909091,-17.37833333,0.923333333,-11.64621212
Johnston,49.97,-90.77,Sturgeon,North Ontario,2016,7,3,5.9,-29.92125,1.97375,-21.29714286,0.82,-8.62410714
Johnston,46.28,-80,Nipissing,North Ontario,2015,8,19,6.4,-28.43,4.34,-17.77,2.99,-10.66
Johnston,49.76,-93.36,Eagle (west basin),North Ontario,2016,7,7,6.5,-27.96,2.34,-21.596,2.664,-6.364
Johnston,52.65,-94.18,Deer,North Ontario,2015,8,10,6.9,-28.916,2.586,-15.84333333,0.732777778,-13.07266667
