DataSource,Latitude,Longitude,Lake,Region,Year,Month,Day,DOC_mgL,Fish_Species,SampleID,Length_mm,d13C,d15N,C.N,Av_pelagic_d13C,Av_pelagic_d15N,Av_benthic_d13C,Av_benthic_d15N,d13Ccorr.lipids,Pelagic diet proportion,Trophic position
Andersson,53.01,13.63,Wuckersee,Germany,2017,9,18,10.27,European perch,Wu_L_25,337.3,-26.87,10.3,3.27,-29.0875,5.45,-26.54142857,2.122857143,-26.3,0,4.5
Andersson,53.01,13.63,Wuckersee,Germany,2017,9,18,10.27,European perch,Wu_L_09,327,-27.09,9.95,3.2,-29.0875,5.45,-26.54142857,2.122857143,-26.6,0.02,4.3
Andersson,53.01,13.63,Wuckersee,Germany,2017,9,18,10.27,European perch,Wu_L_26,324.8,-26.77,10.25,3.26,-29.0875,5.45,-26.54142857,2.122857143,-26.2,0,4.5
Andersson,53.01,13.63,Wuckersee,Germany,2017,9,18,10.27,European perch,Wu_L_07,298.8,-26.75,9.72,3.23,-29.0875,5.45,-26.54142857,2.122857143,-26.2,0,4.4
Andersson,53.01,13.63,Wuckersee,Germany,2017,9,18,10.27,European perch,Wu_L_08,294.3,-26.52,9.53,3.21,-29.0875,5.45,-26.54142857,2.122857143,-26.1,0,4.3
Andersson,53.01,13.63,Wuckersee,Germany,2017,9,18,10.27,European perch,Wu_L_10,255.6,-26.28,9.76,3.19,-29.0875,5.45,-26.54142857,2.122857143,-25.9,0,4.5
Andersson,53.01,13.63,Wuckersee,Germany,2017,9,18,10.27,European perch,Wu_L_11,208.4,-25.6,7.83,3.16,-29.0875,5.45,-26.54142857,2.122857143,-25.2,0,4.2
Andersson,53.01,13.63,Wuckersee,Germany,2017,9,18,10.27,European perch,Wu_L_06,189.7,-27.44,9.3,3.18,-29.0875,5.45,-26.54142857,2.122857143,-27,0.18,3.9
Andersson,53.01,13.63,Wuckersee,Germany,2017,9,18,10.27,European perch,Wu_L_12,166.7,-28.17,7.1,3.18,-29.0875,5.45,-26.54142857,2.122857143,-27.8,0.49,3
Andersson,53.01,13.63,Wuckersee,Germany,2017,9,18,10.27,European perch,Wu_L_21,162.8,-28.17,9.32,3.19,-29.0875,5.45,-26.54142857,2.122857143,-27.7,0.46,3.7
Andersson,53.01,13.63,Wuckersee,Germany,2017,9,18,10.27,European perch,Wu_L_22,162.1,-27.47,9.12,3.23,-29.0875,5.45,-26.54142857,2.122857143,-27,0.18,3.9
Andersson,53.01,13.63,Wuckersee,Germany,2017,9,18,10.27,European perch,Wu_L_13,161.2,-25.94,8.09,3.21,-29.0875,5.45,-26.54142857,2.122857143,-25.5,0,4.2
Andersson,53.01,13.63,Wuckersee,Germany,2017,9,18,10.27,European perch,Wu_L_14,155.4,-25.62,7.65,3.15,-29.0875,5.45,-26.54142857,2.122857143,-25.3,0,4.1
Andersson,53.01,13.63,Wuckersee,Germany,2017,9,18,10.27,European perch,Wu_L_19,147.8,-27.79,9.29,3.24,-29.0875,5.45,-26.54142857,2.122857143,-27.3,0.3,3.8
Andersson,53.01,13.63,Wuckersee,Germany,2017,9,18,10.27,European perch,Wu_L_27,147.3,-25.87,8.31,3.21,-29.0875,5.45,-26.54142857,2.122857143,-25.4,0,4.3
Andersson,53.01,13.63,Wuckersee,Germany,2017,9,18,10.27,European perch,Wu_L_20,144.2,-27.36,8.71,3.22,-29.0875,5.45,-26.54142857,2.122857143,-26.9,0.14,3.8
Andersson,53.01,13.63,Wuckersee,Germany,2017,9,18,10.27,European perch,Wu_L_16,142.9,-26.84,8.91,3.24,-29.0875,5.45,-26.54142857,2.122857143,-26.3,0,4.1
Andersson,53.01,13.63,Wuckersee,Germany,2017,9,18,10.27,European perch,Wu_L_30,135.5,-27.53,9.17,3.21,-29.0875,5.45,-26.54142857,2.122857143,-27.1,0.22,3.9
Andersson,53.01,13.63,Wuckersee,Germany,2017,9,18,10.27,European perch,Wu_P_01,121.7,-27.05,8.51,3.29,-29.0875,5.45,-26.54142857,2.122857143,-26.4,0,3.9
Andersson,53.01,13.63,Wuckersee,Germany,2017,9,18,10.27,European perch,Wu_P_11,120.6,-27.22,8.84,3.22,-29.0875,5.45,-26.54142857,2.122857143,-26.7,0.06,3.9
Andersson,53.01,13.63,Wuckersee,Germany,2017,9,18,10.27,European perch,Wu_P_08,120.6,-27.24,8.92,3.36,-29.0875,5.45,-26.54142857,2.122857143,-26.5,0,4
Andersson,53.01,13.63,Wuckersee,Germany,2017,9,18,10.27,European perch,Wu_P_10,116.9,-26.88,8.36,3.21,-29.0875,5.45,-26.54142857,2.122857143,-26.4,0,3.9
