data_source,lake,region,fish_species,sample_id,year,month,day,sample_date,latitude,longitude,doc_mg_l,doc_level,length_mm,d13c,d15n,c_n,av_pelagic_d13c,av_pelagic_d15n,av_benthic_d13c,av_benthic_d15n,d13ccorr_lipids,pelagic_diet_proportion,trophic_position,baseline_av_pelagic_d13c,baseline_av_pelagic_d15n,baseline_av_benthic_d13c,baseline_av_benthic_d15n,d13c_baseline_difference
Andersson,Wuckersee,Germany,European perch,Wu_L_25,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,337.3,-26.87,10.3,3.27,-29.0875,5.45,-26.54142857,2.122857143,-26.3,0,4.5,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_L_09,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,327,-27.09,9.95,3.2,-29.0875,5.45,-26.54142857,2.122857143,-26.6,0.02,4.3,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_L_26,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,324.8,-26.77,10.25,3.26,-29.0875,5.45,-26.54142857,2.122857143,-26.2,0,4.5,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_L_07,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,298.8,-26.75,9.72,3.23,-29.0875,5.45,-26.54142857,2.122857143,-26.2,0,4.4,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_L_08,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,294.3,-26.52,9.53,3.21,-29.0875,5.45,-26.54142857,2.122857143,-26.1,0,4.3,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_L_10,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,255.6,-26.28,9.76,3.19,-29.0875,5.45,-26.54142857,2.122857143,-25.9,0,4.5,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_L_11,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,208.4,-25.6,7.83,3.16,-29.0875,5.45,-26.54142857,2.122857143,-25.2,0,4.2,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_L_06,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,189.7,-27.44,9.3,3.18,-29.0875,5.45,-26.54142857,2.122857143,-27,0.18,3.9,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_L_12,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,166.7,-28.17,7.1,3.18,-29.0875,5.45,-26.54142857,2.122857143,-27.8,0.49,3,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_L_21,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,162.8,-28.17,9.32,3.19,-29.0875,5.45,-26.54142857,2.122857143,-27.7,0.46,3.7,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_L_22,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,162.1,-27.47,9.12,3.23,-29.0875,5.45,-26.54142857,2.122857143,-27,0.18,3.9,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_L_13,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,161.2,-25.94,8.09,3.21,-29.0875,5.45,-26.54142857,2.122857143,-25.5,0,4.2,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_L_14,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,155.4,-25.62,7.65,3.15,-29.0875,5.45,-26.54142857,2.122857143,-25.3,0,4.1,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_L_19,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,147.8,-27.79,9.29,3.24,-29.0875,5.45,-26.54142857,2.122857143,-27.3,0.3,3.8,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_L_27,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,147.3,-25.87,8.31,3.21,-29.0875,5.45,-26.54142857,2.122857143,-25.4,0,4.3,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_L_20,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,144.2,-27.36,8.71,3.22,-29.0875,5.45,-26.54142857,2.122857143,-26.9,0.14,3.8,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_L_16,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,142.9,-26.84,8.91,3.24,-29.0875,5.45,-26.54142857,2.122857143,-26.3,0,4.1,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_L_30,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,135.5,-27.53,9.17,3.21,-29.0875,5.45,-26.54142857,2.122857143,-27.1,0.22,3.9,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_P_01,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,121.7,-27.05,8.51,3.29,-29.0875,5.45,-26.54142857,2.122857143,-26.4,0,3.9,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_P_11,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,120.6,-27.22,8.84,3.22,-29.0875,5.45,-26.54142857,2.122857143,-26.7,0.06,3.9,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_P_08,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,120.6,-27.24,8.92,3.36,-29.0875,5.45,-26.54142857,2.122857143,-26.5,0,4,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_P_10,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,116.9,-26.88,8.36,3.21,-29.0875,5.45,-26.54142857,2.122857143,-26.4,0,3.9,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_P_15,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,114.5,-26.91,8.66,3.27,-29.0875,5.45,-26.54142857,2.122857143,-26.3,0,4,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_P_12,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,112.7,-27.03,8.55,3.29,-29.0875,5.45,-26.54142857,2.122857143,-26.4,0,3.9,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_L_05,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,112.4,-27.79,8.59,3.23,-29.0875,5.45,-26.54142857,2.122857143,-27.3,0.3,3.6,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_P_09,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,112.3,-26.87,8.51,3.23,-29.0875,5.45,-26.54142857,2.122857143,-26.4,0,3.9,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_P_14,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,110.6,-27.13,8.82,3.29,-29.0875,5.45,-26.54142857,2.122857143,-26.5,0,4,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_L_24,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,110.4,-28.13,8.73,3.3,-29.0875,5.45,-26.54142857,2.122857143,-27.5,0.38,3.6,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_P_07,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,109.9,-27.13,8.5,3.2,-29.0875,5.45,-26.54142857,2.122857143,-26.7,0.06,3.8,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_P_05,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,109.6,-27.13,8.77,3.21,-29.0875,5.45,-26.54142857,2.122857143,-26.7,0.06,3.9,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_L_17,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,108.8,-28.24,8.52,3.22,-29.0875,5.45,-26.54142857,2.122857143,-27.8,0.49,3.4,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_L_02,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,108.3,-26.93,7.65,3.2,-29.0875,5.45,-26.54142857,2.122857143,-26.5,0,3.6,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_L_03,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,108.2,-28.13,8.19,3.2,-29.0875,5.45,-26.54142857,2.122857143,-27.7,0.46,3.3,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_P_13,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,108.2,-27.66,8.46,3.21,-29.0875,5.45,-26.54142857,2.122857143,-27.2,0.26,3.6,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_P_03,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,108,-27.19,8.66,3.2,-29.0875,5.45,-26.54142857,2.122857143,-26.7,0.06,3.9,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_L_23,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,107.4,-27.79,8.87,3.33,-29.0875,5.45,-26.54142857,2.122857143,-27.1,0.22,3.8,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
Andersson,Wuckersee,Germany,European perch,Wu_P_04,2017,9,18,2017-09-18,53.01,13.63,10.27,high_doc,106,-27.49,8.29,3.2,-29.0875,5.45,-26.54142857,2.122857143,-27,0.18,3.6,-29.0875,5.45,-26.54142857,2.122857143,-2.54607143
