lake,latitude,longitude,mean_doc,mean_trophic
A2,46.44700143,-80.89311966,8.9,3.1
A3,46.45029861,-80.88561032,2.4,3.1733333333333333
A6,46.45455195,-80.87729539,3.4,2.7933333333333334
ATQ 201,70.33,-156.81,4.87,3.9673469387755103
ATQ 206,70.42,-156.981,4.166,3.614
Addie,48.17,-90.43,7.6,4.01
Andy,49.63,-94.09,8.6,3.983673469387755
Bad Vermilion,48.74,-92.68,5.6,4.15
Badesdawa,51.73,-89.78,16.2,4.331578947368421
Big Island,62.086883,119.8689,9.763557,4.675
Brunnsjon,56.59,15.73,18.94,3.1737704918032787
Cherrington,52.58,-94.89,4.8,4.323333333333333
D,46.4482916,-80.8950849,2.5,3.2533333333333334
Dagarn,59.89,15.68,6.26,3.2266666666666666
Deer,52.65,-94.18,6.9,4.252083333333333
Degervattnet,63.87,16.23,8.61,3.7636363636363637
Eagle (west basin),49.76,-93.36,6.5,4.143478260869565
East Long,46.236245,-89.495892,7.984642857,3.7125
Ekali,61.289633,120.582869,16.583675,4.073684210526316
Falaren,60.34,17.78,34.3,3.8426229508196723
Fiolen,57.09,14.53,6.21,3.58
Fish,63.182378,122.543831,13.14,4.158620689655172
Gargan,61.249,120.382092,21.3,4.216666666666667
Giroux,45.71,-80.51,8.5,3.769230769230769
Grober Vatersee,53,13.55,12,3.6266666666666665
Gyslattasjon,57.11,14.48,11.52,3.4448275862068964
H,46.45258392,-80.88491185,2.4,3.2733333333333334
I,46.45459373,-80.88179422,2.7,3.3066666666666666
J,46.45650114,-80.8785829,3.2,3.24
Jacob,48.35,-90.33,9,3.9693877551020407
K,46.45864954,-80.87390033,2.8,3.2066666666666666
Kakisa,60.923308,117.665583,12.929815,4.191379310344828
Kallsjon,61.63,16.73,20.11,3.236666666666667
Kenogamisis,49.69,-86.88,11.2,4.228
Kwinkwaga,48.81,-85.33,8.936363636363636,4.204545454545454
Lang,51.58,-91.52,11.76969696969697,3.9
Langsjon,60.04,17.57,6.19,3.5033333333333334
Lilla Sangaren,59.9,15.39,6.5,3.282758620689655
Little Abitibi,49.41,-80.54,13.812903225806451,4.667741935483871
Ljustjarn,59.92,15.45,3.6,3.4138888888888888
Makami,47.74,-81.84,9.8,3.967441860465116
Mameigwess,49.55,-91.82,2.9,4.228125
Matinenda,46.39,-82.92,2.9,3.4857142857142858
McGill,61.30345,121.013878,17.46488,4.3130434782608695
McInnes,52.22,-93.73,9,3.9699999999999998
Monmonawson,51.71,-89.49,12,3.6043478260869564
Mustard,62.002303,120.093861,11.50191,4.15
Nipissing,46.28,-80,5.778688524590167,3.9634426229508195
Oppsveten,60.02,15.47,19.1,2.9
Panache,46.25,-81.33,3.5083333333333333,4.152083333333334
Panache,46.78,-81.33,3.3,3.8
Pine,54.15,-85.03,8.6,4.12
Quantz,51.17,-85.38,15.4,3.86
RDC 308,69.99,-156.43,8.094,4
RDC 309,70.03,-156.57,8.097,4.561904761904762
RDC 311,70,-156.69,5.99,4.293617021276596
Radisson,48.21,-80.76,5.8,4.215
Raven,48.05,-79.55,7.3,4.1499999999999995
Remmarsjon,63.86,18.27,9.18,3.8684210526315788
Rib,47.22,-79.72,3.4,4.13030303030303
Sanguez,61.254031,120.492239,17.312568,4.286082474226804
Shillington,47.77,-80.65,7.125454545454545,4.1454545454545455
Stora Skarsjon,56.67,13.06,5.07,3.3
Strandsjon,59.87,17.17,21,3.961016949152542
Sturgeon,49.97,-90.77,5.9,4.338709677419355
Tathlina,60.538836,117.508067,19.66,4.046875
Temagami,47.01,-80.08,2.9,4.2
Trading,51.83,-88.96,13.2,3.8794117647058823
Trout,46.31,-79.32,3.7,3.82
Trout,51.2,-93.31,3.7,4.245454545454545
Troutfly,51.7,-88.89,4.9,4.095454545454546
Tryssjon,60.44,15.09,11.19,3.3658536585365852
Valloxen,59.73,17.84,17.6,4.6169491525423725
Vuolgamjaure,65.66,18.55,5.41,3.9233333333333333
West Long,46.235908,-89.501564,7.912580645,4.25
Wigwascence,52.45,-89.41,12.9,4.3533333333333335
Williams,51.83,-90.68,10.2,3.5303030303030303
Willow,62.169394,119.184778,9.9674,4.379166666666666
Wright,51.33,-90.96,12.3,4.1850000000000005
Wuckersee,53.01,13.63,10.27,3.917777777777778
