lake,region,n,mean_doc,mean_pelagic,mean_trophic
A2,N.Ontario,15,8.9,1,3.1
A3,N.Ontario,15,2.4,0.4473333333333333,3.1733333333333333
A6,N.Ontario,15,3.4,0.19266666666666668,2.7933333333333334
ATQ 201,Alaska,49,4.87,0.005510204081632652,3.9673469387755103
ATQ 206,Alaska,50,4.166,0.35600000000000004,3.614
Addie,N.Ontario,50,7.6,0.5374,4.01
Andy,N.Ontario,49,8.6,0.4324489795918367,3.983673469387755
Bad Vermilion,N.Ontario,30,5.6,0.47533333333333333,4.15
Badesdawa,N.Ontario,38,16.2,0.08394736842105263,4.331578947368421
Big Island,NWT,8,9.763557,0.4575,4.675
Brunnsjon,Sweden,61,18.94,0.3460655737704918,3.1737704918032787
Cherrington,N.Ontario,30,4.8,0.5666666666666667,4.323333333333333
D,N.Ontario,15,2.5,0.8766666666666667,3.2533333333333334
Dagarn,Sweden,45,6.26,0.45955555555555555,3.2266666666666666
Deer,N.Ontario,48,6.9,0.7810416666666666,4.252083333333333
Degervattnet,Sweden,33,8.61,0.2496969696969697,3.7636363636363637
Eagle (west basin),N.Ontario,23,6.5,0.42347826086956525,4.143478260869565
East Long,Michigan,16,7.984642857,0,3.7125
Ekali,NWT,38,16.583675,0.07026315789473685,4.073684210526316
Falaren,Sweden,61,34.3,0.6757377049180328,3.8426229508196723
Fiolen,Sweden,60,6.21,0.07716666666666668,3.58
Fish,NWT,29,13.14,0.5106896551724138,4.158620689655172
Gargan,NWT,12,21.3,0.5158333333333334,4.216666666666667
Giroux,N.Ontario,39,8.5,0.8882051282051282,3.769230769230769
Grober Vatersee,Germany,60,12,0.26283333333333336,3.6266666666666665
Gyslattasjon,Sweden,58,11.52,0.19775862068965516,3.4448275862068964
H,N.Ontario,15,2.4,0.8506666666666667,3.2733333333333334
I,N.Ontario,15,2.7,0.5113333333333333,3.3066666666666666
J,N.Ontario,15,3.2,0.4126666666666667,3.24
Jacob,N.Ontario,49,9,0.5177551020408163,3.9693877551020407
K,N.Ontario,15,2.8,0.8346666666666667,3.2066666666666666
Kakisa,NWT,58,12.929815,0.7570689655172413,4.191379310344828
Kallsjon,Sweden,30,20.11,0.316,3.236666666666667
Kenogamisis,N.Ontario,25,11.2,0.3628,4.228
Kwinkwaga,N.Ontario,22,8.936363636363636,0.24,4.204545454545454
Lang,N.Ontario,33,11.76969696969697,0.5645454545454546,3.9
Langsjon,Sweden,60,6.19,0.4681666666666667,3.5033333333333334
Lilla Sangaren,Sweden,29,6.5,0.2589655172413793,3.282758620689655
Little Abitibi,N.Ontario,31,13.812903225806451,0,4.667741935483871
Ljustjarn,Sweden,36,3.6,0.2788888888888889,3.4138888888888888
Makami,N.Ontario,43,9.8,0.38209302325581396,3.967441860465116
Mameigwess,N.Ontario,32,2.9,0.5209375,4.228125
Matinenda,N.Ontario,14,2.9,0.6357142857142857,3.4857142857142858
McGill,NWT,23,17.46488,0,4.3130434782608695
McInnes,N.Ontario,20,9,0.639,3.9699999999999998
Monmonawson,N.Ontario,23,12,0.2847826086956522,3.6043478260869564
Mustard,NWT,4,11.50191,0.6699999999999999,4.15
Nipissing,N.Ontario,610,5.778688524590167,0.6959672131147541,3.9634426229508195
Oppsveten,Sweden,61,19.1,0.5849180327868853,2.9
Panache,N.Ontario,49,3.5040816326530613,0.7155102040816327,4.144897959183673
Pine,N.Ontario,20,8.6,0.17250000000000001,4.12
Quantz,N.Ontario,35,15.4,0.7008571428571428,3.86
RDC 308,Alaska,28,8.094,0.027857142857142855,4
RDC 309,Alaska,21,8.097,0,4.561904761904762
RDC 311,Alaska,47,5.99,0.039361702127659576,4.293617021276596
Radisson,N.Ontario,20,5.8,0.598,4.215
Raven,N.Ontario,30,7.3,0.5846666666666667,4.1499999999999995
Remmarsjon,Sweden,38,9.18,0.2631578947368421,3.8684210526315788
Rib,N.Ontario,33,3.4,0.5521212121212121,4.13030303030303
Sanguez,NWT,194,17.312568,0.48603092783505153,4.286082474226804
Shillington,N.Ontario,55,7.125454545454545,0.6781818181818182,4.1454545454545455
Stora Skarsjon,Sweden,59,5.07,0.28084745762711866,3.3
Strandsjon,Sweden,59,21,0.6584745762711864,3.961016949152542
Sturgeon,N.Ontario,31,5.9,0.37806451612903225,4.338709677419355
Tathlina,NWT,32,19.66,0,4.046875
Temagami,N.Ontario,72,2.9,0.415,4.2
Trading,N.Ontario,34,13.2,0.28852941176470587,3.8794117647058823
Trout,N.Ontario,43,3.7,0.3553488372093024,4.1465116279069765
Troutfly,N.Ontario,22,4.9,0.5445454545454546,4.095454545454546
Tryssjon,Sweden,41,11.19,0.278780487804878,3.3658536585365852
Valloxen,Sweden,59,17.6,0.31118644067796614,4.6169491525423725
Vuolgamjaure,Sweden,30,5.41,0.11333333333333333,3.9233333333333333
West Long,Michigan,16,7.912580645,0,4.25
Wigwascence,N.Ontario,30,12.9,0,4.3533333333333335
Williams,N.Ontario,33,10.2,0.3515151515151515,3.5303030303030303
Willow,NWT,24,9.9674,0.9083333333333333,4.379166666666666
Wright,N.Ontario,20,12.3,0.47850000000000004,4.1850000000000005
Wuckersee,Germany,45,10.27,0.10711111111111112,3.917777777777778
